step,time,euler_x,euler_y,rk4_x,rk4_y,exact_x,exact_y,euler_error,rk4_error
31,0.6200000000000002,3.1000000000000014,3.015680000000003,3.1000000000000014,3.0764400000000025,3.100000000000001,3.0764400000000003,0.06075999999999748,2.2644195468014703e-15
32,0.6400000000000002,3.2000000000000015,3.0502400000000027,3.2000000000000015,3.1129600000000024,3.200000000000001,3.11296,0.06271999999999744,2.2644195468014703e-15
33,0.6600000000000003,3.3000000000000016,3.0808800000000027,3.3000000000000016,3.1455600000000024,3.300000000000001,3.14556,0.0646799999999974,2.2644195468014703e-15
34,0.6800000000000003,3.4000000000000017,3.107600000000003,3.4000000000000017,3.1742400000000024,3.4000000000000012,3.17424,0.06663999999999737,2.2644195468014703e-15
35,0.7000000000000003,3.5000000000000018,3.130400000000003,3.5000000000000018,3.1990000000000025,3.5000000000000013,3.1990000000000003,0.06859999999999733,2.2644195468014703e-15
36,0.7200000000000003,3.600000000000002,3.149280000000003,3.600000000000002,3.2198400000000027,3.6000000000000014,3.21984,0.07055999999999685,2.7012892057857038e-15
37,0.7400000000000003,3.700000000000002,3.164240000000003,3.700000000000002,3.236760000000003,3.7000000000000015,3.2367600000000003,0.07251999999999725,2.7012892057857038e-15
38,0.7600000000000003,3.800000000000002,3.175280000000003,3.800000000000002,3.249760000000003,3.8000000000000016,3.2497599999999998,0.07447999999999677,3.1401849173675502e-15
39,0.7800000000000004,3.900000000000002,3.182400000000003,3.900000000000002,3.258840000000003,3.9000000000000017,3.25884,0.07643999999999718,2.7012892057857038e-15
40,0.8000000000000004,4.000000000000002,3.185600000000003,4.000000000000002,3.264000000000003,4.000000000000002,3.264,0.0783999999999967,3.1086244689504383e-15
